OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,VOLTAGE,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
1,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,1,Bowen North,Operational,132,Bowen,Queensland,5,23/02/2017,,-20.01783092,148.1675134
2,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,2,Clements Gap Wind Farm,Operational,132,Clements Gap,South Australia,3,23/02/2017,,-33.50826467,138.1307084
3,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,3,Snowtown South,Operational,275,Cameron,South Australia,3,23/02/2017,,-33.83016399,138.118444
4,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,4,Blyth West,Operational,275,Blyth,South Australia,3,23/02/2017,,-33.84690195,138.4075434
5,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,5,Belalie-North Brown Hill Wind ,Operational,275,Belalie East,South Australia,5,23/02/2017,,-33.30921239,138.7272941
6,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,6,West Angelas Mine,Operational,220,Newman,Western Australia,5,23/02/2017,Gas,-23.15410603,118.7250547
7,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,7,West Angelas Mine,Operational,220,Newman,Western Australia,5,23/02/2017,,-23.14895383,118.7191731
8,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,9,Mumbida Wind Farm,Operational,132,Burma Road,Western Australia,3,23/02/2017,,-28.99180488,114.9598878
9,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,10,Redbank,Operational,132,Warkworth,New South Wales,5,23/02/2017,,-32.57954394,151.0725313
10,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,11,Manildra,Operational,132,Manildra,New South Wales,5,23/02/2017,,-33.17989697,148.7169484
11,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,12,Cadia,Operational,132,Panuara,New South Wales,5,23/02/2017,,-33.46635289,148.9928177
12,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,13,Homebush Bay,Operational,132,Sydney Olympic Park,New South Wales,5,23/02/2017,,-33.83317965,151.0729994
13,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,14,Hillston,Operational,132,Hillston,New South Wales,5,23/02/2017,,-33.51593252,145.5297208
14,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,15,Hay,Operational,132,Hay,New South Wales,5,23/02/2017,,-34.48941824,144.8782894
15,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,16,Cullerin Range Wind Farm,Operational,66,Cullerin,New South Wales,3,23/02/2017,,-34.79553016,149.3981759
16,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,17,Gunning Wind Farm,Operational,66,Gurrundah,New South Wales,3,23/02/2017,,-34.6958309,149.3831752
17,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,18,Brandy Hill,Operational,132,Seaham,New South Wales,5,23/02/2017,,-32.67054973,151.7036703
18,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,19,Wellington Road-SSWRD,Operational,110,East Brisbane,Queensland,5,23/02/2017,,-27.4850175,153.0406545
19,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,20,Meadows,Operational,66,Kuitpo,South Australia,5,23/02/2017,,-35.17180376,138.7692966
20,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,21,Balhannah,Operational,66,Balhannah,South Australia,5,23/02/2017,,-34.99688287,138.8199644
21,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,22,Harndorf,Operational,66,Paechtown,South Australia,5,23/02/2017,,-35.0435803,138.8129851
22,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,23,Mount Barker South,Operational,275,Macclesfield,South Australia,5,23/02/2017,,-35.08475004,138.8486071
23,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,24,Strathalbyn,Operational,66,Bremer,South Australia,5,23/02/2017,,-35.27117233,138.8961509
24,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,25,Port Noarlunga,Operational,66,Willunga,South Australia,5,23/02/2017,,-35.1706023,138.4800141
25,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,26,Port Stanvac,Operational,66,Noarlunga,South Australia,5,23/02/2017,,-35.1087614,138.4898564
26,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,27,Oaklands Hill Wind Farm,Operational,66,Glenthompson,Victoria,3,23/02/2017,Wind,-37.68147182,142.5522599
27,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,28,Mortons Lane Wind Farm,Operational,66,Woodhouse,Victoria,3,23/02/2017,Wind,-37.83515725,142.4662795
28,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,29,Ballarat North,Operational,66,Wendouree,Victoria,5,23/02/2017,,-37.53461185,143.8468952
29,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,30,Challicum Hills,Operational,66,Buangor,Victoria,3,23/02/2017,,-37.35935152,143.1523862
30,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,31,Ararat,Operational,66,Ararat,Victoria,5,23/02/2017,,-37.26872753,142.9241704
31,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,32,Stawell,Operational,66,Stawell,Victoria,5,23/02/2017,,-37.05833927,142.7524737
32,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,33,Lismore South,Operational,132,South Lismore,New South Wales,5,23/02/2017,,-28.82102142,153.2658041
33,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,34,Lismore ,Operational,132,Monaltrie,New South Wales,5,23/02/2017,,-28.8350082,153.2947651
34,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,35,Lismore East,Operational,132,Goonellabah,New South Wales,5,23/02/2017,,-28.81455834,153.3437031
35,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,36,Alstonville,Operational,132,Lynwood,New South Wales,5,23/02/2017,,-28.86432034,153.4332623
36,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,37,Suffolk Park,Operational,132,Byron Bay,New South Wales,5,23/02/2017,,-28.67292096,153.5940707
37,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,38,Ballina,Operational,132,Ballina,New South Wales,5,23/02/2017,,-28.86102138,153.5519151
38,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,39,Lennox Head,Operational,132,Tintenbar,New South Wales,5,23/02/2017,,-28.78151124,153.5522451
39,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,40,Ewingsdale,Operational,132,Ewingsdale,New South Wales,5,23/02/2017,,-28.63728645,153.5543603
40,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,41,Lake Munmorah,Operational,132,Lake Munmorah,New South Wales,5,23/02/2017,,-33.18885933,151.5774135
41,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,42,Argenton,Operational,132,Argenton,New South Wales,5,23/02/2017,,-32.94025762,151.6266885
42,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,43,Maryland,Operational,132,Wallsend,New South Wales,5,23/02/2017,,-32.88781463,151.6522727
43,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,44,West Castle Hill,Operational,132,Castle Hill,New South Wales,5,23/02/2017,,-33.72911279,150.9781631
44,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,45,Rouse Hill,Operational,132,Rouse Hill,New South Wales,5,23/02/2017,,-33.69223004,150.9079745
45,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,46,Mungerie Park,Operational,132,Rouse Hill,New South Wales,5,23/02/2017,,-33.68747054,150.921484
46,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,47,Bella Vista,Operational,132,Bella Vista,New South Wales,5,23/02/2017,,-33.74421609,150.9495654
47,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,48,Cheriton Avenue,Operational,132,Castle Hill,New South Wales,5,23/02/2017,,-33.73222187,151.0001571
48,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,49,City Central,Operational,132,Sydney,New South Wales,2,23/02/2017,,-33.87320708,151.2027304
49,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,50,Belmore Park,Operational,132,Haymarket,New South Wales,5,23/02/2017,,-33.87979623,151.207377
50,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Bulk Supply Point,51,Beaconsfield North,Operational,132,Alexandria,New South Wales,3,23/02/2017,,-33.91433271,151.1879037
51,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,52,Menai,Operational,132,Menai,New South Wales,5,23/02/2017,,-34.01489738,151.0105181
52,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,53,Kirrawee,Operational,132,Kirrawee,New South Wales,5,23/02/2017,,-34.0338854,151.0754556
53,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,54,Port Hacking,Operational,132,Kirrawee,New South Wales,5,23/02/2017,,-34.0271435,151.0802225
54,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,55,Cronulla,Operational,132,Cronulla,New South Wales,5,23/02/2017,,-34.05109407,151.1469068
55,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,56,Eastern Creek,Operational,330,Eastern Creek,New South Wales,5,23/02/2017,,-33.81331219,150.8368042
56,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,57,BHP,Operational,132,Rooty Hill,New South Wales,5,23/02/2017,,-33.76642314,150.8482327
57,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,58,Quakers,Operational,132,Quakers Hill,New South Wales,5,23/02/2017,,-33.73538806,150.8859362
58,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,59,Arndell Park,Operational,132,Arndell Park,New South Wales,5,23/02/2017,,-33.79042023,150.8908587
59,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,60,Granville,Operational,132,Granville,New South Wales,5,23/02/2017,,-33.83001591,151.0088938
60,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,61,North Parramatta,Operational,132,North Parramatta,New South Wales,5,23/02/2017,,-33.80749226,151.0090073
61,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,62,Wetherill Park,Operational,132,Wetherill Park,New South Wales,5,23/02/2017,,-33.84205166,150.9116749
62,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,63,Bruce,Operational,132,Bruce,Australian Capital Territory,5,23/02/2017,,-35.24620774,149.1086175
63,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,64,Woden,Operational,132,Woden Valley,Australian Capital Territory,5,23/02/2017,,-35.33366955,149.070425
64,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,65,Gold Creek,Operational,132,Gungahlin,Australian Capital Territory,5,23/02/2017,,-35.17234004,149.1166917
